keeling.offset.d15Na,keeling.slope.d15Na,keeling.R2.d15Na,keeling.offset.d15Nb,keeling.slope.d15Nb,keeling.R2.d15Nb,keeling.offset.d18O,keeling.slope.d18O,keeling.R2.d18O
404.325352424808,-126658.721144523,0.0306901157247824,451.224575805604,-149131.455942336,0.0831975942878923,-3538.85661891454,1159541.23533929,0.0595014092267216
-563.729278252306,189165.477931529,0.126532313695887,-43.1763516957003,12316.390231375,0.00126766169370257,284.622112198296,-85611.9956445203,0.000777060140820704
-168.240091007842,61525.8744579303,0.00160833796934601,339.659308811004,-112630.422349332,0.00913547259107408,-17328.2229040412,5637297.11151245,0.243443933213354
-513.444967237548,173035.794224801,0.00350880385373501,418.676768204045,-138125.592794919,0.0056754144029592,-18075.4547917693,5890170.58518517,0.118603101696773
466.506977315013,-145083.48428386,0.0423959308810366,-126.604523122245,38736.74081377,0.00912870846574695,-7855.50388009526,2567422.41299999,0.415669832844778
-7716.60764402309,2515051.18571035,0.559860747498607,-1622.5890502903,522707.145529897,0.143999902802958,52006.5525803547,-16903436.391743,0.836283782560838
1280.76486275403,-412544.676418693,0.146516894993927,-1241.71836062439,400876.065063408,0.214003696941951,13959.1278974554,-4515759.65460477,0.777416218754559
-3165.45114242358,1031619.04375892,0.0624374028827347,-2849.50853269839,922413.14218944,0.121055013502023,-63282.5867749348,20544191.496663,0.78939773270074
-233.593893620625,82475.5274718854,0.106813591472589,-538.377489656316,171506.592478049,0.503511664655357,-4827.91498818016,1572294.55527421,0.932932536715819
-72.4397546009811,31545.1340224409,0.317735169855016,-209.960413110688,66694.2531431913,0.758623828050577,-779.559469733314,262523.454732031,0.853465398637498
-746.746422034322,246982.182250738,0.0498573112368633,49.6456654053269,-22825.8009876553,0.00121632590200082,-26956.5271390731,8724313.13243666,0.840710138772741
-1402.92646270325,460071.116131878,0.304467512985364,2535.92027119292,-823203.277750484,0.573912504577347,50830.7574344596,-16451702.2952654,0.967810701009029
1853.80211568973,-594831.892528668,0.375998145404703,2429.49037201495,-788323.680961261,0.489357979956932,30972.6697331935,-9967728.96834302,0.920618244389062
-261.798072180205,91749.0734093189,0.111947260002922,-580.013378055029,188781.569628282,0.370247847652004,2365.53872737914,-734146.934323098,0.446888888984011
-2521.43421157962,821492.38189747,0.319592912896414,-1505.11017871183,484539.851728491,0.28698726451396,5229.6742331821,-1664044.132971,0.263894984743014
2467.87561865177,-791649.88047408,0.131041685485411,3618.96245858234,-1168953.84679794,0.355371239451873,-5091.40077597165,1646470.18614212,0.144169579045809
-963.202716584443,317616.658233805,0.243347608919207,789.310518435077,-258029.902691856,0.34466854550852,2174.36565945689,-700849.870421174,0.250618384679852
5255.70999255371,-1690606.23652066,0.755071292964419,3615.32039540938,-1165755.2508306,0.611429666146611,-55424.5096436733,17829466.7988091,0.826306891112774
-15.8922691834549,10452.9410807612,0.000898452229361797,775.25291002162,-253527.203728737,0.441053172824858,-13733.8983032809,4425037.44017485,0.917967092530442
318.459694589533,-97188.0004415783,0.00550878606208767,1098.64394656114,-356998.720445251,0.107379800338709,-13121.627548368,4228033.03067222,0.284548059584317
-58.8380150719367,25813.8503341578,0.0328508187383953,15.9953069904332,-10018.7255647648,0.0140819440123264,-1284.02719255111,433822.866171701,0.359108753821212
-7.93369567212836,9548.64694400474,0.0347429954568694,-36.2532376790221,7630.93306731812,0.0598981473508455,-242.254006560299,83370.7291823739,0.163939491569856
-164.977393154104,58195.3679664722,0.188159930444976,-114.152693035755,34117.0415115208,0.140012822209987,-654.498223389205,211812.296663638,0.169152188158767
14.8781917585922,23.9549623694412,7.13427358058473e-08,-36.0351364641161,8760.90627597054,0.0280637132060069,213.980678774946,-61723.6650014096,0.036428886141509
38.7631780131685,-8195.65482043362,0.00147769635061631,251.251369123737,-85558.672020672,0.253523730669878,-3783.88821797361,1242559.44121014,0.619589740364562
-23.6357174623255,14745.7191386389,0.00981355908487743,-111.364273232708,34708.5939770805,0.103449425843525,-264.681644476864,95084.9462459723,0.0267689250424677
52.7086952821334,-10328.5354463373,0.00516119277192379,-57.0556224737711,16349.5602736691,0.0214245402164461,188.247210583537,-61059.9935645134,0.0125772944391691
